"Date Printed: Tuesday, April 12, 2022 10:27:15 PM"
Title: AIDS classifications | AIDS deaths | AIDS prevalence | HIV deaths | HIV diagnoses | HIV prevalence | 2008 | 2009 | 2010 | 2011 | 2012 | 2013 | 2014 | 2015 | 2016 | 2017 | 2018 | 2019 | Alabama | Alaska | Arizona | Arkansas | California | Colorado | Connecticut | Delaware | District of Columbia | Florida | Georgia | Hawaii | Idaho | Illinois | Indiana | Iowa | Kansas | Kentucky | Louisiana | Maine | Maryland | Massachusetts | Michigan | Minnesota | Mississippi | Missouri | Montana | Nebraska | Nevada | New Hampshire | New Jersey | New Mexico | New York | North Carolina | North Dakota | Ohio | Oklahoma | Oregon | Pennsylvania | Rhode Island | South Carolina | South Dakota | Tennessee | Texas | Utah | Vermont | Virginia | Washington | West Virginia | Wisconsin | Wyoming | All races/ethnicities | Both sexes | Ages 13 years and older | All transmission categories
Footnote(s): For all HIV surveillance data: Data for the years 2020 and 2021 are preliminary (subject to a 12-month reporting lag). Rates are not reported until 12-month reporting lag complete.
Prevalence: Prevalence data for the year 2019 are preliminary and based on death data received by CDC as of December 2020. Trends through 2019 should be interpreted with caution. Prevalence data prior to 2010 are based on residence at diagnosis; prevalence data from 2010 to present are based on most recent known address. See Technical Notes for more information on death reporting by jurisdiction.
Death: Death data for the year 2019 are preliminary and based on death data received by CDC as of December 2020. Death data based on residence at death.
^ Jurisdiction with incomplete reporting of deaths for most recent year; relevant for HIV deaths, HIV prevalence, AIDS deaths, AIDS prevalence, knowledge of status, estimated HIV incidence, estimated HIV prevalence, and receipt of HIV medical care, and viral suppression indicators.
PrEP coverage, reported as a percentage, is calculated as the number of persons aged ≥16 years classified as having been prescribed PrEP divided by the estimated number of persons aged ≥16 years who had indications for PrEP.   Number prescribed, or “cases”, is defined as the number of persons aged ≥16 years classified as having been prescribed PrEP during the specified year and includes all FDA-approved drugs for PrEP.  “Population” is the annual estimated number of persons with PrEP indications. Total includes people categorized by IQVIA as Black, White, Hispanic, or Other race. Number prescribed are reported through September 2020. Data for which values are unknown were not reported; therefore, values may not sum to column total.
NA - Not applicable


Year,Geography,AIDS classifications,,AIDS deaths,,AIDS prevalence,,HIV deaths,,HIV diagnoses,,HIV prevalence,
,,Cases,Rate per 100000,Cases,Rate per 100000,Cases,Rate per 100000,Cases,Rate per 100000,Cases,Rate per 100000,Cases,Rate per 100000
"2008","Alabama^","376","9.7","215","5.6","4,027","104.0","283","7.3","703","18.2","9,830","253.9"
"2008","Alaska","18","3.2","16","2.9","318","56.9","21","3.8","39","7.0","543","97.1"
"2008","Arizona","520","9.9","186","3.6","5,061","96.7","229","4.4","681","13.0","10,804","206.4"
"2008","Arkansas","116","4.9","100","4.2","1,946","82.5","112","4.8","234","9.9","4,038","171.3"
"2008","California","3,621","12.1","1,481","5.0","62,911","210.9","1,773","5.9","5,713","19.1","99,319","332.9"
"2008","Colorado","310","7.7","91","2.2","4,216","104.1","117","2.9","445","11.0","9,793","241.8"
"2008","Connecticut","265","9.0","229","7.8","6,408","218.5","259","8.8","347","11.8","9,173","312.8"
"2008","Delaware","115","15.8","73","10.0","1,715","235.5","95","13.0","153","21.0","2,625","360.4"
"2008","District of Columbia","472","92.9","273","53.7","7,493","1474.9","307","60.4","1,035","203.7","11,959","2354.0"
"2008","Florida","4,076","26.3","2,078","13.4","48,618","313.5","2,413","15.6","5,770","37.2","84,974","547.9"
"2008","Georgia","2,028","25.9","759","9.7","17,506","223.7","899","11.5","3,162","40.4","31,442","401.7"
"2008","Hawaii","66","6.1","38","3.5","1,217","112.9","46","4.3","82","7.6","1,946","180.6"
"2008","Idaho","32","2.6","14","1.1","325","26.6","16","1.3","49","4.0","692","56.6"
"2008","Illinois","1,132","10.7","513","4.9","15,148","143.4","612","5.8","1,798","17.0","27,495","260.3"
"2008","Indiana","353","6.7","178","3.4","4,137","78.9","202","3.9","462","8.8","7,846","149.6"
"2008","Iowa","69","2.8","20","0.8","922","37.1","24","1.0","95","3.8","1,477","59.4"
"2008","Kansas","98","4.3","49","2.1","1,302","56.9","57","2.5","138","6.0","2,218","96.9"
"2008","Kentucky","251","7.1","110","3.1","2,538","71.3","136","3.8","354","9.9","4,578","128.6"
"2008","Louisiana","832","22.8","402","11.0","8,070","221.2","483","13.2","1,063","29.1","15,308","419.6"
"2008","Maine","43","3.8","22","1.9","545","48.2","26","2.3","45","4.0","973","86.1"
