"Date Printed: Tuesday, April 12, 2022 10:25:57 PM"
Title: AIDS classifications | AIDS deaths | AIDS prevalence | Acute Viral Hepatitis B | Acute Viral Hepatitis C | Chlamydia | Congenital Syphilis | Early Non-Primary, Non-Secondary Syphilis | Estimated HIV incidence | Estimated HIV prevalence (undiagnosed and diagnosed) | Gonorrhea | HIV deaths | HIV diagnoses | HIV prevalence | HIV viral suppression | Hepatitis  A | Knowledge of Status | Linkage to HIV care | PrEP coverage and number of persons prescribed | Primary and Secondary Syphilis | Receipt of HIV medical care | 2017 | 2018 | 2019 | Alabama | Alaska | Arizona | Arkansas | California | Colorado | Connecticut | Delaware | District of Columbia | Florida | Georgia | Hawaii | Idaho | Illinois | Indiana | Iowa | Kansas | Kentucky | Louisiana | Maine | Maryland | Massachusetts | Michigan | Minnesota | Mississippi | Missouri | Montana | Nebraska | Nevada | New Hampshire | New Jersey | New Mexico | New York | North Carolina | North Dakota | Ohio | Oklahoma | Oregon | Pennsylvania | Rhode Island | South Carolina | South Dakota | Tennessee | Texas | Utah | Vermont | Virginia | Washington | West Virginia | Wisconsin | Wyoming | All races/ethnicities | Both sexes | Ages 13 years and older
Footnote(s): For all HIV surveillance data: Data for the years 2020 and 2021 are preliminary (subject to a 12-month reporting lag). Rates are not reported until 12-month reporting lag complete.
Prevalence: Prevalence data for the year 2019 are preliminary and based on death data received by CDC as of December 2020. Trends through 2019 should be interpreted with caution. Prevalence data prior to 2010 are based on residence at diagnosis; prevalence data from 2010 to present are based on most recent known address. See Technical Notes for more information on death reporting by jurisdiction.
Death: Death data for the year 2019 are preliminary and based on death data received by CDC as of December 2020. Death data based on residence at death.
^ Jurisdiction with incomplete reporting of deaths for most recent year; relevant for HIV deaths, HIV prevalence, AIDS deaths, AIDS prevalence, knowledge of status, estimated HIV incidence, estimated HIV prevalence, and receipt of HIV medical care, and viral suppression indicators.
PrEP coverage, reported as a percentage, is calculated as the number of persons aged ≥16 years classified as having been prescribed PrEP divided by the estimated number of persons aged ≥16 years who had indications for PrEP.   Number prescribed, or “cases”, is defined as the number of persons aged ≥16 years classified as having been prescribed PrEP during the specified year and includes all FDA-approved drugs for PrEP.  “Population” is the annual estimated number of persons with PrEP indications. Total includes people categorized by IQVIA as Black, White, Hispanic, or Other race. Number prescribed are reported through September 2020. Data for which values are unknown were not reported; therefore, values may not sum to column total.
NA - Not applicable
 *Estimates with an RSE of 30%-50% should be used with caution because they do not meet the standard of reliability. Estimates with an RSE>50% are not shown.
 Linkage to care is based on newly diagnosed cases. Data for the years 2020 and 2021 are preliminary (subject to a 12-month reporting lag) and based on data received by CDC as of September 2021. See Technical notes for more details on data availability and stratifications.
 Receipt of care is based on persons living with HIV. See Technical notes for more details on data availability and stratifications.
 Viral suppression is based on persons living with HIV. See Technical notes for more details on data availability and stratifications.


Year,Geography,AIDS classifications,,AIDS deaths,,AIDS prevalence,,Acute Viral Hepatitis B,,Acute Viral Hepatitis C,,Chlamydia,,Congenital Syphilis,,Early Non-Primary Non-Secondary Syphilis,,Estimated HIV incidence,,Estimated HIV prevalence (undiagnosed and diagnosed),,Gonorrhea,,HIV deaths,,HIV diagnoses,,HIV prevalence,,HIV viral suppression,,Hepatitis  A,,Knowledge of Status,,Linkage to HIV care,,PrEP coverage and number of persons prescribed,,Primary and Secondary Syphilis,,Receipt of HIV medical care,
,,Rate per 100000 (95% CI),Percent (95% CI RSE),Rate per 100000 (95% CI),Percent (95% CI RSE),Rate per 100000 (95% CI),Percent (95% CI RSE),Rate per 100000 (95% CI),Percent (95% CI RSE),Rate per 100000 (95% CI),Percent (95% CI RSE),Rate per 100000 (95% CI),Percent (95% CI RSE),Rate per 100000 (95% CI),Percent (95% CI RSE),Rate per 100000 (95% CI),Percent (95% CI RSE),Rate per 100000 (95% CI),Percent (95% CI RSE),Rate per 100000 (95% CI),Percent (95% CI RSE),Rate per 100000 (95% CI),Percent (95% CI RSE),Rate per 100000 (95% CI),Percent (95% CI RSE),Rate per 100000 (95% CI),Percent (95% CI RSE),Rate per 100000 (95% CI),Percent (95% CI RSE),Rate per 100000 (95% CI),Percent (95% CI RSE),Rate per 100000 (95% CI),Percent (95% CI RSE),Rate per 100000 (95% CI),Percent (95% CI RSE),Rate per 100000 (95% CI),Percent (95% CI RSE),Rate per 100000 (95% CI),Percent (95% CI RSE),Rate per 100000 (95% CI),Percent (95% CI RSE),Rate per 100000 (95% CI),Percent (95% CI RSE)
"2017","Alabama^","7.2","NA","4.8","NA","140.0","NA","Data not available","NA","Data not available","NA","729.1","NA","Data not available","NA","10.3","NA","15.3 (9.9 - 20.8)","NA","384.6 (364.1 - 405.1)","NA","290.9","NA","6.4","NA","15.9","NA","318.3","NA","NA","63.6","Data not available","NA","NA","82.1 (78.0 - 86.8, 2.7)","NA","76.9","NA","9.0","10.3","NA","NA","75.7"
"2017","Alaska","2.2","NA","0.7","NA","64.2","NA","Data not available","NA","Data not available","NA","983.6","NA","Data not available","NA","1.5","NA","Data suppressed","NA","134.1 (116.7 - 164.0)","NA","362.1","NA","1.2","NA","4.8","NA","118.0","NA","NA","79.0","Data not available","NA","NA","87.1 (71.2 - 100.0, 8.4)","NA","96.6","NA","5.3","2.2","NA","NA","88.9"
"2017","Arizona","5.2","NA","3.3","NA","128.8","NA","Data not available","NA","Data not available","NA","674.1","NA","Data not available","NA","10.6","NA","14.3 (9.7 - 18.8)","NA","322.7 (307.8 - 337.7)","NA","212.8","NA","4.2","NA","12.4","NA","270.4","NA","NA","Data not available","Data not available","NA","NA","83.0 (79.3 - 87.0, 2.4)","NA","Data not available","NA","8.4","16.0","NA","NA","Data not available"
"2017","Arkansas","5.3","NA","3.2","NA","101.8","NA","Data not available","NA","Data not available","NA","693.6","NA","Data not available","NA","13.1","NA","11.8 (5.3 - 18.3)","NA","275.2 (253.5 - 296.9)","NA","268.8","NA","4.2","NA","11.5","NA","223.7","NA","NA","Data not available","Data not available","NA","NA","80.6 (74.7 - 87.5, 4.1)","NA","Data not available","NA","8.7","9.4","NA","NA","Data not available"
"2017","California","5.9","NA","4.4","NA","212.2","NA","Data not available","NA","Data not available","NA","664.2","NA","Data not available","NA","21.4","NA","14.0 (12.2 - 15.8)","NA","445.5 (437.9 - 453.2)","NA","228.9","NA","5.3","NA","14.6","NA","389.2","NA","NA","66.7","Data not available","NA","NA","86.8 (85.4 - 88.4, 0.9)","NA","74.3","NA","15.7","20.4","NA","NA","76.6"
"2017","Colorado","3.7","NA","2.3","NA","112.8","NA","Data not available","NA","Data not available","NA","573.2","NA","Data not available","NA","6.0","NA","9.4 (5.2 - 13.5)","NA","297.1 (281.6 - 312.7)","NA","180.1","NA","2.8","NA","9.2","NA","258.9","NA","NA","59.2","Data not available","NA","NA","86.6 (82.2 - 91.3, 2.7)","NA","84.2","NA","9.4","6.2","NA","NA","66.6"
"2017","Connecticut","4.2","NA","5.2","NA","207.4","NA","Data not available","NA","Data not available","NA","577.9","NA","Data not available","NA","4.7","NA","8.0 (3.5 - 12.6)","NA","368.8 (345.5 - 392.0)","NA","127.6","NA","6.5","NA","9.0","NA","337.4","NA","NA","66.9","Data not available","NA","NA","89.9 (84.6 - 95.9, 3.2)","NA","83.6","NA","14.4","3.6","NA","NA","81.0"
"2017","Delaware","7.2","NA","7.2","NA","245.5","NA","Data not available","NA","Data not available","NA","664.7","NA","Data not available","NA","6.0","NA","14.9 (4.1 - 25.7)","NA","448.8 (400.1 - 497.6)","NA","219.8","NA","8.3","NA","15.5","NA","402.6","NA","NA","67.8","Data not available","NA","NA","88.4 (79.8 - 99.2, 5.6)","NA","85.7","NA","5.8","7.0","NA","NA","80.0"
"2017","District of Columbia","23.5","NA","27.5","NA","1259.6","NA","Data not available","NA","Data not available","NA","1518.8","NA","Data not available","NA","57.2","NA","35.5 (14.8 - 56.2)","NA","2526.9 (2389.8 - 2664.1)","NA","762.4","NA","39.7","NA","53.0","NA","2381.1","NA","NA","56.0","Data not available","NA","NA","93.3 (88.5 - 98.7, 2.8)","NA","79.6","NA","27.8","45.9","NA","NA","68.4"
