"Date Printed: Tuesday, April 12, 2022 10:24:43 PM"
Title: AIDS classifications | AIDS deaths | AIDS prevalence | Acute Viral Hepatitis B | Acute Viral Hepatitis C | Chlamydia | Congenital Syphilis | Early Non-Primary, Non-Secondary Syphilis | Estimated HIV incidence | Estimated HIV prevalence (undiagnosed and diagnosed) | Gonorrhea | HIV deaths | HIV diagnoses | HIV prevalence | HIV viral suppression | Hepatitis  A | Knowledge of Status | Linkage to HIV care | PrEP coverage and number of persons prescribed | Primary and Secondary Syphilis | Receipt of HIV medical care | 2017 | 2018 | 2019 | Alabama | Alaska | Arizona | Arkansas | California | Colorado | Connecticut | Delaware | District of Columbia | Florida | Georgia | Hawaii | Idaho | Illinois | Indiana | Iowa | Kansas | Kentucky | Louisiana | Maine | Maryland | Massachusetts | Michigan | Minnesota | Mississippi | Missouri | Montana | Nebraska | Nevada | New Hampshire | New Jersey | New Mexico | New York | North Carolina | North Dakota | Ohio | Oklahoma | Oregon | Pennsylvania | Rhode Island | South Carolina | South Dakota | Tennessee | Texas | Utah | Vermont | Virginia | Washington | West Virginia | Wisconsin | Wyoming | All races/ethnicities | Both sexes | Ages 13 years and older
Footnote(s): For all HIV surveillance data: Data for the years 2020 and 2021 are preliminary (subject to a 12-month reporting lag). Rates are not reported until 12-month reporting lag complete.
Prevalence: Prevalence data for the year 2019 are preliminary and based on death data received by CDC as of December 2020. Trends through 2019 should be interpreted with caution. Prevalence data prior to 2010 are based on residence at diagnosis; prevalence data from 2010 to present are based on most recent known address. See Technical Notes for more information on death reporting by jurisdiction.
Death: Death data for the year 2019 are preliminary and based on death data received by CDC as of December 2020. Death data based on residence at death.
^ Jurisdiction with incomplete reporting of deaths for most recent year; relevant for HIV deaths, HIV prevalence, AIDS deaths, AIDS prevalence, knowledge of status, estimated HIV incidence, estimated HIV prevalence, and receipt of HIV medical care, and viral suppression indicators.
PrEP coverage, reported as a percentage, is calculated as the number of persons aged ≥16 years classified as having been prescribed PrEP divided by the estimated number of persons aged ≥16 years who had indications for PrEP.   Number prescribed, or “cases”, is defined as the number of persons aged ≥16 years classified as having been prescribed PrEP during the specified year and includes all FDA-approved drugs for PrEP.  “Population” is the annual estimated number of persons with PrEP indications. Total includes people categorized by IQVIA as Black, White, Hispanic, or Other race. Number prescribed are reported through September 2020. Data for which values are unknown were not reported; therefore, values may not sum to column total.
NA - Not applicable
 *Estimates with an RSE of 30%-50% should be used with caution because they do not meet the standard of reliability. Estimates with an RSE>50% are not shown.
 Linkage to care is based on newly diagnosed cases. Data for the years 2020 and 2021 are preliminary (subject to a 12-month reporting lag) and based on data received by CDC as of September 2021. See Technical notes for more details on data availability and stratifications.
 Receipt of care is based on persons living with HIV. See Technical notes for more details on data availability and stratifications.
 Viral suppression is based on persons living with HIV. See Technical notes for more details on data availability and stratifications.


Indicator,Year,Geography,FIPS,Cases (95% CI RSE),Rate per 100000 (95% CI),Percent (95% CI RSE)
"Receipt of HIV medical care","2019","Alabama","01","10,325","NA","78.0"
"Receipt of HIV medical care","2018","Alabama","01","10,037","NA","77.4"
"Receipt of HIV medical care","2017","Alabama","01","9,395","NA","75.7"
"Primary and Secondary Syphilis","2019","Alabama","01","618","15.0","NA"
"Primary and Secondary Syphilis","2018","Alabama","01","476","11.6","NA"
"Primary and Secondary Syphilis","2017","Alabama","01","420","10.3","NA"
"PrEP coverage and number of persons prescribed","2019","Alabama","01","1,837","NA","16.7"
"PrEP coverage and number of persons prescribed","2018","Alabama","01","1,544","NA","14.0"
"PrEP coverage and number of persons prescribed","2017","Alabama","01","1,023","NA","9.0"
"Linkage to HIV care","2019","Alabama","01","505","NA","79.2"
"Linkage to HIV care","2018","Alabama","01","488","NA","80.4"
"Linkage to HIV care","2017","Alabama","01","499","NA","76.9"
"Knowledge of Status","2019","Alabama","01","13,767","NA","83.4 (79.0 - 88.4, 2.9)"
"Knowledge of Status","2018","Alabama","01","13,371","NA","82.6 (78.4 - 87.4, 2.8)"
"Knowledge of Status","2017","Alabama","01","12,930","NA","82.1 (78.0 - 86.8, 2.7)"
"Hepatitis  A","2019","Alabama","01","Data not available","Data not available","NA"
"Hepatitis  A","2018","Alabama","01","Data not available","Data not available","NA"
"Hepatitis  A","2017","Alabama","01","Data not available","Data not available","NA"
"HIV viral suppression","2019","Alabama","01","8,837","NA","66.7"
"HIV viral suppression","2018","Alabama","01","8,550","NA","65.9"
"HIV viral suppression","2017","Alabama","01","7,886","NA","63.6"
"HIV diagnoses","2019","Alabama","01","638","15.5","NA"
"HIV diagnoses","2018","Alabama","01","607","14.8","NA"
"HIV diagnoses","2017","Alabama","01","650","15.9","NA"
"Gonorrhea","2019","Alabama","01","14,465","350.8","NA"
"Gonorrhea","2018","Alabama","01","12,686","308.9","NA"
"Gonorrhea","2017","Alabama","01","11,909","290.9","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2019","Alabama","01","16,500 (15,600 - 17,400, 2.9)","400.3 (377.8 - 422.8)","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2018","Alabama","01","16,200 (15,300 - 17,100, 2.8)","393.9 (372.5 - 415.3)","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2017","Alabama","01","15,700 (14,900 - 16,600, 2.7)","384.6 (364.1 - 405.1)","NA"
"Estimated HIV incidence","2019","Alabama","01","570 (280 - 860, 25.7)","13.9 (6.9 - 20.9)","NA"
"Estimated HIV incidence","2018","Alabama","01","600 (350 - 850, 21.3)","14.7 (8.5 - 20.8)","NA"
"Estimated HIV incidence","2017","Alabama","01","630 (400 - 850, 18.1)","15.3 (9.9 - 20.8)","NA"
"Early Non-Primary, Non-Secondary Syphilis","2019","Alabama","01","540","13.1","NA"
"Early Non-Primary, Non-Secondary Syphilis","2018","Alabama","01","447","10.9","NA"
