"Notes"	"State"	"State Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"1999"	"1999"	169	4430141	3.8
	"Alabama"	"01"	"2000"	"2000"	197	4447100	4.4
	"Alabama"	"01"	"2001"	"2001"	216	4467634	4.8
	"Alabama"	"01"	"2002"	"2002"	211	4480089	4.7
	"Alabama"	"01"	"2003"	"2003"	197	4503491	4.4
	"Alabama"	"01"	"2004"	"2004"	283	4530729	6.2
	"Alabama"	"01"	"2005"	"2005"	283	4569805	6.2
	"Alabama"	"01"	"2006"	"2006"	398	4628981	8.6
	"Alabama"	"01"	"2007"	"2007"	511	4672840	10.9
	"Alabama"	"01"	"2008"	"2008"	607	4718206	12.9
	"Alabama"	"01"	"2009"	"2009"	630	4757938	13.2
	"Alabama"	"01"	"2010"	"2010"	547	4779736	11.4
	"Alabama"	"01"	"2011"	"2011"	552	4802740	11.5
	"Alabama"	"01"	"2012"	"2012"	562	4822023	11.7
	"Alabama"	"01"	"2013"	"2013"	598	4833722	12.4
	"Alabama"	"01"	"2014"	"2014"	723	4849377	14.9
	"Alabama"	"01"	"2015"	"2015"	736	4858979	15.1
	"Alabama"	"01"	"2016"	"2016"	756	4863300	15.5
	"Alabama"	"01"	"2017"	"2017"	835	4874747	17.1
	"Alabama"	"01"	"2018"	"2018"	775	4887871	15.9
	"Alabama"	"01"	"2019"	"2019"	768	4903185	15.7
	"Alabama"	"01"	"2020 "	"2020"	1029	4921532	20.9
"Total"	"Alabama"	"01"			11583	103604166	11.2
	"Alaska"	"02"	"1999"	"1999"	46	624779	7.4
	"Alaska"	"02"	"2000"	"2000"	48	626932	7.7
	"Alaska"	"02"	"2001"	"2001"	62	633714	9.8
	"Alaska"	"02"	"2002"	"2002"	84	642337	13.1
	"Alaska"	"02"	"2003"	"2003"	83	648414	12.8
	"Alaska"	"02"	"2004"	"2004"	86	659286	13.0
	"Alaska"	"02"	"2005"	"2005"	79	666946	11.8
	"Alaska"	"02"	"2006"	"2006"	76	675302	11.3
	"Alaska"	"02"	"2007"	"2007"	72	680300	10.6
	"Alaska"	"02"	"2008"	"2008"	127	687455	18.5
	"Alaska"	"02"	"2009"	"2009"	131	698895	18.7
	"Alaska"	"02"	"2010"	"2010"	83	710231	11.7
	"Alaska"	"02"	"2011"	"2011"	107	722718	14.8
	"Alaska"	"02"	"2012"	"2012"	129	731449	17.6
	"Alaska"	"02"	"2013"	"2013"	105	735132	14.3
	"Alaska"	"02"	"2014"	"2014"	124	736732	16.8
	"Alaska"	"02"	"2015"	"2015"	122	738432	16.5
	"Alaska"	"02"	"2016"	"2016"	128	741894	17.3
	"Alaska"	"02"	"2017"	"2017"	147	739795	19.9
	"Alaska"	"02"	"2018"	"2018"	110	737438	14.9
	"Alaska"	"02"	"2019"	"2019"	132	731545	18.0
	"Alaska"	"02"	"2020 "	"2020"	160	731158	21.9
"Total"	"Alaska"	"02"			2241	15300884	14.6
	"Arizona"	"04"	"1999"	"1999"	511	5023823	10.2
	"Arizona"	"04"	"2000"	"2000"	522	5130632	10.2
	"Arizona"	"04"	"2001"	"2001"	552	5273477	10.5
