"Notes"	"State"	"State Code"	"Year"	"Year Code"	"ICD Sub-Chapter"	"ICD Sub-Chapter Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"1999"	"1999"	"Other external causes of accidental injury"	"W00-X59"	116	4430141	2.6
	"Alabama"	"01"	"1999"	"1999"	"Intentional self-harm"	"X60-X84"	37	4430141	0.8
	"Alabama"	"01"	"1999"	"1999"	"Event of undetermined intent"	"Y10-Y34"	16	4430141	Unreliable
	"Alabama"	"01"	"2000"	"2000"	"Other external causes of accidental injury"	"W00-X59"	130	4447100	2.9
	"Alabama"	"01"	"2000"	"2000"	"Intentional self-harm"	"X60-X84"	47	4447100	1.1
	"Alabama"	"01"	"2000"	"2000"	"Event of undetermined intent"	"Y10-Y34"	20	4447100	0.4
	"Alabama"	"01"	"2001"	"2001"	"Other external causes of accidental injury"	"W00-X59"	166	4467634	3.7
	"Alabama"	"01"	"2001"	"2001"	"Intentional self-harm"	"X60-X84"	36	4467634	0.8
	"Alabama"	"01"	"2001"	"2001"	"Event of undetermined intent"	"Y10-Y34"	13	4467634	Unreliable
	"Alabama"	"01"	"2002"	"2002"	"Other external causes of accidental injury"	"W00-X59"	171	4480089	3.8
	"Alabama"	"01"	"2002"	"2002"	"Intentional self-harm"	"X60-X84"	28	4480089	0.6
	"Alabama"	"01"	"2002"	"2002"	"Event of undetermined intent"	"Y10-Y34"	12	4480089	Unreliable
	"Alabama"	"01"	"2003"	"2003"	"Other external causes of accidental injury"	"W00-X59"	155	4503491	3.4
	"Alabama"	"01"	"2003"	"2003"	"Intentional self-harm"	"X60-X84"	21	4503491	0.5
	"Alabama"	"01"	"2003"	"2003"	"Event of undetermined intent"	"Y10-Y34"	21	4503491	0.5
	"Alabama"	"01"	"2004"	"2004"	"Other external causes of accidental injury"	"W00-X59"	223	4530729	4.9
	"Alabama"	"01"	"2004"	"2004"	"Intentional self-harm"	"X60-X84"	42	4530729	0.9
	"Alabama"	"01"	"2004"	"2004"	"Event of undetermined intent"	"Y10-Y34"	18	4530729	Unreliable
	"Alabama"	"01"	"2005"	"2005"	"Other external causes of accidental injury"	"W00-X59"	217	4569805	4.7
	"Alabama"	"01"	"2005"	"2005"	"Intentional self-harm"	"X60-X84"	28	4569805	0.6
	"Alabama"	"01"	"2005"	"2005"	"Event of undetermined intent"	"Y10-Y34"	38	4569805	0.8
	"Alabama"	"01"	"2006"	"2006"	"Other external causes of accidental injury"	"W00-X59"	310	4628981	6.7
	"Alabama"	"01"	"2006"	"2006"	"Intentional self-harm"	"X60-X84"	40	4628981	0.9
	"Alabama"	"01"	"2006"	"2006"	"Event of undetermined intent"	"Y10-Y34"	48	4628981	1.0
	"Alabama"	"01"	"2007"	"2007"	"Other external causes of accidental injury"	"W00-X59"	424	4672840	9.1
	"Alabama"	"01"	"2007"	"2007"	"Intentional self-harm"	"X60-X84"	48	4672840	1.0
	"Alabama"	"01"	"2007"	"2007"	"Event of undetermined intent"	"Y10-Y34"	39	4672840	0.8
	"Alabama"	"01"	"2008"	"2008"	"Other external causes of accidental injury"	"W00-X59"	485	4718206	10.3
	"Alabama"	"01"	"2008"	"2008"	"Intentional self-harm"	"X60-X84"	47	4718206	1.0
	"Alabama"	"01"	"2008"	"2008"	"Event of undetermined intent"	"Y10-Y34"	75	4718206	1.6
	"Alabama"	"01"	"2009"	"2009"	"Other external causes of accidental injury"	"W00-X59"	537	4757938	11.3
	"Alabama"	"01"	"2009"	"2009"	"Intentional self-harm"	"X60-X84"	52	4757938	1.1
	"Alabama"	"01"	"2009"	"2009"	"Event of undetermined intent"	"Y10-Y34"	38	4757938	0.8
	"Alabama"	"01"	"2010"	"2010"	"Other external causes of accidental injury"	"W00-X59"	463	4779736	9.7
	"Alabama"	"01"	"2010"	"2010"	"Intentional self-harm"	"X60-X84"	54	4779736	1.1
	"Alabama"	"01"	"2010"	"2010"	"Event of undetermined intent"	"Y10-Y34"	27	4779736	0.6
	"Alabama"	"01"	"2011"	"2011"	"Other external causes of accidental injury"	"W00-X59"	485	4802740	10.1
	"Alabama"	"01"	"2011"	"2011"	"Intentional self-harm"	"X60-X84"	37	4802740	0.8
	"Alabama"	"01"	"2011"	"2011"	"Event of undetermined intent"	"Y10-Y34"	26	4802740	0.5
	"Alabama"	"01"	"2012"	"2012"	"Other external causes of accidental injury"	"W00-X59"	478	4822023	9.9
	"Alabama"	"01"	"2012"	"2012"	"Intentional self-harm"	"X60-X84"	57	4822023	1.2
	"Alabama"	"01"	"2012"	"2012"	"Event of undetermined intent"	"Y10-Y34"	27	4822023	0.6
	"Alabama"	"01"	"2013"	"2013"	"Other external causes of accidental injury"	"W00-X59"	520	4833722	10.8
	"Alabama"	"01"	"2013"	"2013"	"Intentional self-harm"	"X60-X84"	44	4833722	0.9
	"Alabama"	"01"	"2013"	"2013"	"Event of undetermined intent"	"Y10-Y34"	34	4833722	0.7
	"Alabama"	"01"	"2014"	"2014"	"Other external causes of accidental injury"	"W00-X59"	639	4849377	13.2
	"Alabama"	"01"	"2014"	"2014"	"Intentional self-harm"	"X60-X84"	50	4849377	1.0
